Message,Category,cleaned_message
Your transaction ID is TXN227320. Please keep it for your records.,Transactional,your transaction id is txn227320 please keep it for your records
Your OTP is 239047. Do not share it with anyone.,Transactional,your otp is 239047 do not share it with anyone
Your package with tracking ID 283224 has been shipped.,Transactional,your package with tracking id 283224 has been shipped
Your OTP is 218960. Do not share it with anyone.,Transactional,your otp is 218960 do not share it with anyone
Your payment of ₹6134 was successful.,Transactional,your payment of 6134 was successful
Your payment of ₹8132 was successful.,Transactional,your payment of 8132 was successful
Your transaction ID is TXN636763. Please keep it for your records.,Transactional,your transaction id is txn636763 please keep it for your records
Your OTP is 638869. Do not share it with anyone.,Transactional,your otp is 638869 do not share it with anyone
Your OTP is 993207. Do not share it with anyone.,Transactional,your otp is 993207 do not share it with anyone
Your OTP is 768582. Do not share it with anyone.,Transactional,your otp is 768582 do not share it with anyone
Your transaction ID is TXN910431. Please keep it for your records.,Transactional,your transaction id is txn910431 please keep it for your records
Your package with tracking ID 145745 has been shipped.,Transactional,your package with tracking id 145745 has been shipped
Your transaction ID is TXN259252. Please keep it for your records.,Transactional,your transaction id is txn259252 please keep it for your records
Your payment of ₹2512 was successful.,Transactional,your payment of 2512 was successful
Your payment of ₹3238 was successful.,Transactional,your payment of 3238 was successful
Your payment of ₹8509 was successful.,Transactional,your payment of 8509 was successful
Your payment of ₹6667 was successful.,Transactional,your payment of 6667 was successful
Your payment of ₹9015 was successful.,Transactional,your payment of 9015 was successful
Your package with tracking ID 546679 has been shipped.,Transactional,your package with tracking id 546679 has been shipped
Your OTP is 915715. Do not share it with anyone.,Transactional,your otp is 915715 do not share it with anyone
Your payment of ₹8154 was successful.,Transactional,your payment of 8154 was successful
Your payment of ₹5759 was successful.,Transactional,your payment of 5759 was successful
Your transaction ID is TXN124883. Please keep it for your records.,Transactional,your transaction id is txn124883 please keep it for your records
Your payment of ₹4541 was successful.,Transactional,your payment of 4541 was successful
Your package with tracking ID 468525 has been shipped.,Transactional,your package with tracking id 468525 has been shipped
Your OTP is 741111. Do not share it with anyone.,Transactional,your otp is 741111 do not share it with anyone
Your transaction ID is TXN568651. Please keep it for your records.,Transactional,your transaction id is txn568651 please keep it for your records
Your package with tracking ID 587177 has been shipped.,Transactional,your package with tracking id 587177 has been shipped
Your package with tracking ID 166333 has been shipped.,Transactional,your package with tracking id 166333 has been shipped
Your transaction ID is TXN782649. Please keep it for your records.,Transactional,your transaction id is txn782649 please keep it for your records
Your package with tracking ID 545490 has been shipped.,Transactional,your package with tracking id 545490 has been shipped
Your transaction ID is TXN798710. Please keep it for your records.,Transactional,your transaction id is txn798710 please keep it for your records
Your OTP is 324419. Do not share it with anyone.,Transactional,your otp is 324419 do not share it with anyone
Your OTP is 202681. Do not share it with anyone.,Transactional,your otp is 202681 do not share it with anyone
Your package with tracking ID 807854 has been shipped.,Transactional,your package with tracking id 807854 has been shipped
Your OTP is 645393. Do not share it with anyone.,Transactional,your otp is 645393 do not share it with anyone
Your payment of ₹9501 was successful.,Transactional,your payment of 9501 was successful
Your payment of ₹2973 was successful.,Transactional,your payment of 2973 was successful
Your transaction ID is TXN629343. Please keep it for your records.,Transactional,your transaction id is txn629343 please keep it for your records
Your payment of ₹9078 was successful.,Transactional,your payment of 9078 was successful
Your payment of ₹1484 was successful.,Transactional,your payment of 1484 was successful
Your package with tracking ID 227325 has been shipped.,Transactional,your package with tracking id 227325 has been shipped
Your OTP is 291945. Do not share it with anyone.,Transactional,your otp is 291945 do not share it with anyone
Your transaction ID is TXN936284. Please keep it for your records.,Transactional,your transaction id is txn936284 please keep it for your records
Your package with tracking ID 417233 has been shipped.,Transactional,your package with tracking id 417233 has been shipped
Your OTP is 736032. Do not share it with anyone.,Transactional,your otp is 736032 do not share it with anyone
Your transaction ID is TXN263446. Please keep it for your records.,Transactional,your transaction id is txn263446 please keep it for your records
Your payment of ₹7871 was successful.,Transactional,your payment of 7871 was successful
Your transaction ID is TXN322391. Please keep it for your records.,Transactional,your transaction id is txn322391 please keep it for your records
Your OTP is 129544. Do not share it with anyone.,Transactional,your otp is 129544 do not share it with anyone
Your payment of ₹7186 was successful.,Transactional,your payment of 7186 was successful
Your package with tracking ID 272799 has been shipped.,Transactional,your package with tracking id 272799 has been shipped
Your package with tracking ID 497832 has been shipped.,Transactional,your package with tracking id 497832 has been shipped
Your payment of ₹331 was successful.,Transactional,your payment of 331 was successful
Your payment of ₹1293 was successful.,Transactional,your payment of 1293 was successful
Your OTP is 970890. Do not share it with anyone.,Transactional,your otp is 970890 do not share it with anyone
Your package with tracking ID 973438 has been shipped.,Transactional,your package with tracking id 973438 has been shipped
Your package with tracking ID 143052 has been shipped.,Transactional,your package with tracking id 143052 has been shipped
Your package with tracking ID 236809 has been shipped.,Transactional,your package with tracking id 236809 has been shipped
Your OTP is 521108. Do not share it with anyone.,Transactional,your otp is 521108 do not share it with anyone
Your package with tracking ID 193280 has been shipped.,Transactional,your package with tracking id 193280 has been shipped
Your payment of ₹2419 was successful.,Transactional,your payment of 2419 was successful
Your package with tracking ID 339485 has been shipped.,Transactional,your package with tracking id 339485 has been shipped
Your package with tracking ID 395014 has been shipped.,Transactional,your package with tracking id 395014 has been shipped
Your transaction ID is TXN865894. Please keep it for your records.,Transactional,your transaction id is txn865894 please keep it for your records
Your transaction ID is TXN610741. Please keep it for your records.,Transactional,your transaction id is txn610741 please keep it for your records
Your package with tracking ID 634730 has been shipped.,Transactional,your package with tracking id 634730 has been shipped
Your OTP is 405405. Do not share it with anyone.,Transactional,your otp is 405405 do not share it with anyone
Your package with tracking ID 280191 has been shipped.,Transactional,your package with tracking id 280191 has been shipped
Your package with tracking ID 294291 has been shipped.,Transactional,your package with tracking id 294291 has been shipped
Your transaction ID is TXN919545. Please keep it for your records.,Transactional,your transaction id is txn919545 please keep it for your records
Your transaction ID is TXN437787. Please keep it for your records.,Transactional,your transaction id is txn437787 please keep it for your records
Your OTP is 944634. Do not share it with anyone.,Transactional,your otp is 944634 do not share it with anyone
Your package with tracking ID 324817 has been shipped.,Transactional,your package with tracking id 324817 has been shipped
Your transaction ID is TXN650337. Please keep it for your records.,Transactional,your transaction id is txn650337 please keep it for your records
Your package with tracking ID 893874 has been shipped.,Transactional,your package with tracking id 893874 has been shipped
Your OTP is 400714. Do not share it with anyone.,Transactional,your otp is 400714 do not share it with anyone
Your transaction ID is TXN794368. Please keep it for your records.,Transactional,your transaction id is txn794368 please keep it for your records
Your transaction ID is TXN633022. Please keep it for your records.,Transactional,your transaction id is txn633022 please keep it for your records
Your OTP is 295410. Do not share it with anyone.,Transactional,your otp is 295410 do not share it with anyone
Your OTP is 353553. Do not share it with anyone.,Transactional,your otp is 353553 do not share it with anyone
Your OTP is 549786. Do not share it with anyone.,Transactional,your otp is 549786 do not share it with anyone
Your transaction ID is TXN899454. Please keep it for your records.,Transactional,your transaction id is txn899454 please keep it for your records
Your transaction ID is TXN816936. Please keep it for your records.,Transactional,your transaction id is txn816936 please keep it for your records
Your payment of ₹6418 was successful.,Transactional,your payment of 6418 was successful
Your payment of ₹8765 was successful.,Transactional,your payment of 8765 was successful
Your OTP is 446149. Do not share it with anyone.,Transactional,your otp is 446149 do not share it with anyone
Your payment of ₹2474 was successful.,Transactional,your payment of 2474 was successful
Your package with tracking ID 204655 has been shipped.,Transactional,your package with tracking id 204655 has been shipped
Your package with tracking ID 521182 has been shipped.,Transactional,your package with tracking id 521182 has been shipped
Your package with tracking ID 462312 has been shipped.,Transactional,your package with tracking id 462312 has been shipped
Your transaction ID is TXN937257. Please keep it for your records.,Transactional,your transaction id is txn937257 please keep it for your records
Your package with tracking ID 912397 has been shipped.,Transactional,your package with tracking id 912397 has been shipped
Your OTP is 561425. Do not share it with anyone.,Transactional,your otp is 561425 do not share it with anyone
Your package with tracking ID 657350 has been shipped.,Transactional,your package with tracking id 657350 has been shipped
Your package with tracking ID 798004 has been shipped.,Transactional,your package with tracking id 798004 has been shipped
Your package with tracking ID 378313 has been shipped.,Transactional,your package with tracking id 378313 has been shipped
Your payment of ₹9957 was successful.,Transactional,your payment of 9957 was successful
Your package with tracking ID 433117 has been shipped.,Transactional,your package with tracking id 433117 has been shipped
Your payment of ₹9027 was successful.,Transactional,your payment of 9027 was successful
Your OTP is 202294. Do not share it with anyone.,Transactional,your otp is 202294 do not share it with anyone
Your OTP is 175420. Do not share it with anyone.,Transactional,your otp is 175420 do not share it with anyone
Your OTP is 440623. Do not share it with anyone.,Transactional,your otp is 440623 do not share it with anyone
Your package with tracking ID 296048 has been shipped.,Transactional,your package with tracking id 296048 has been shipped
Your transaction ID is TXN173505. Please keep it for your records.,Transactional,your transaction id is txn173505 please keep it for your records
Your package with tracking ID 351327 has been shipped.,Transactional,your package with tracking id 351327 has been shipped
Your transaction ID is TXN392987. Please keep it for your records.,Transactional,your transaction id is txn392987 please keep it for your records
Your transaction ID is TXN724187. Please keep it for your records.,Transactional,your transaction id is txn724187 please keep it for your records
Your package with tracking ID 123980 has been shipped.,Transactional,your package with tracking id 123980 has been shipped
Your package with tracking ID 688130 has been shipped.,Transactional,your package with tracking id 688130 has been shipped
Your transaction ID is TXN882220. Please keep it for your records.,Transactional,your transaction id is txn882220 please keep it for your records
Your transaction ID is TXN938230. Please keep it for your records.,Transactional,your transaction id is txn938230 please keep it for your records
Your transaction ID is TXN751275. Please keep it for your records.,Transactional,your transaction id is txn751275 please keep it for your records
Your transaction ID is TXN830957. Please keep it for your records.,Transactional,your transaction id is txn830957 please keep it for your records
Your OTP is 359056. Do not share it with anyone.,Transactional,your otp is 359056 do not share it with anyone
Your payment of ₹6295 was successful.,Transactional,your payment of 6295 was successful
Your payment of ₹3564 was successful.,Transactional,your payment of 3564 was successful
Your package with tracking ID 620388 has been shipped.,Transactional,your package with tracking id 620388 has been shipped
Your payment of ₹5027 was successful.,Transactional,your payment of 5027 was successful
Your transaction ID is TXN920542. Please keep it for your records.,Transactional,your transaction id is txn920542 please keep it for your records
Your OTP is 510553. Do not share it with anyone.,Transactional,your otp is 510553 do not share it with anyone
Your package with tracking ID 197311 has been shipped.,Transactional,your package with tracking id 197311 has been shipped
Your transaction ID is TXN570522. Please keep it for your records.,Transactional,your transaction id is txn570522 please keep it for your records
Your transaction ID is TXN374378. Please keep it for your records.,Transactional,your transaction id is txn374378 please keep it for your records
Your transaction ID is TXN231127. Please keep it for your records.,Transactional,your transaction id is txn231127 please keep it for your records
Your transaction ID is TXN137672. Please keep it for your records.,Transactional,your transaction id is txn137672 please keep it for your records
Your package with tracking ID 967938 has been shipped.,Transactional,your package with tracking id 967938 has been shipped
Your payment of ₹4123 was successful.,Transactional,your payment of 4123 was successful
Your package with tracking ID 806531 has been shipped.,Transactional,your package with tracking id 806531 has been shipped
Your transaction ID is TXN602053. Please keep it for your records.,Transactional,your transaction id is txn602053 please keep it for your records
Your OTP is 406977. Do not share it with anyone.,Transactional,your otp is 406977 do not share it with anyone
Your payment of ₹6394 was successful.,Transactional,your payment of 6394 was successful
Your package with tracking ID 672654 has been shipped.,Transactional,your package with tracking id 672654 has been shipped
Your payment of ₹3838 was successful.,Transactional,your payment of 3838 was successful
Your package with tracking ID 616232 has been shipped.,Transactional,your package with tracking id 616232 has been shipped
Your OTP is 657403. Do not share it with anyone.,Transactional,your otp is 657403 do not share it with anyone
Your package with tracking ID 630941 has been shipped.,Transactional,your package with tracking id 630941 has been shipped
Your OTP is 606425. Do not share it with anyone.,Transactional,your otp is 606425 do not share it with anyone
Your OTP is 255401. Do not share it with anyone.,Transactional,your otp is 255401 do not share it with anyone
Your OTP is 829012. Do not share it with anyone.,Transactional,your otp is 829012 do not share it with anyone
Your package with tracking ID 359121 has been shipped.,Transactional,your package with tracking id 359121 has been shipped
Your transaction ID is TXN524491. Please keep it for your records.,Transactional,your transaction id is txn524491 please keep it for your records
Your OTP is 774561. Do not share it with anyone.,Transactional,your otp is 774561 do not share it with anyone
Your OTP is 102307. Do not share it with anyone.,Transactional,your otp is 102307 do not share it with anyone
Your package with tracking ID 896751 has been shipped.,Transactional,your package with tracking id 896751 has been shipped
Your OTP is 165744. Do not share it with anyone.,Transactional,your otp is 165744 do not share it with anyone
Your payment of ₹7167 was successful.,Transactional,your payment of 7167 was successful
Your transaction ID is TXN460054. Please keep it for your records.,Transactional,your transaction id is txn460054 please keep it for your records
Your payment of ₹6011 was successful.,Transactional,your payment of 6011 was successful
Your OTP is 359250. Do not share it with anyone.,Transactional,your otp is 359250 do not share it with anyone
Your OTP is 470285. Do not share it with anyone.,Transactional,your otp is 470285 do not share it with anyone
Your OTP is 980474. Do not share it with anyone.,Transactional,your otp is 980474 do not share it with anyone
Your payment of ₹5275 was successful.,Transactional,your payment of 5275 was successful
Your payment of ₹4860 was successful.,Transactional,your payment of 4860 was successful
Your OTP is 860669. Do not share it with anyone.,Transactional,your otp is 860669 do not share it with anyone
Your transaction ID is TXN395068. Please keep it for your records.,Transactional,your transaction id is txn395068 please keep it for your records
Your OTP is 884583. Do not share it with anyone.,Transactional,your otp is 884583 do not share it with anyone
Your transaction ID is TXN280626. Please keep it for your records.,Transactional,your transaction id is txn280626 please keep it for your records
Your payment of ₹8629 was successful.,Transactional,your payment of 8629 was successful
Your OTP is 475847. Do not share it with anyone.,Transactional,your otp is 475847 do not share it with anyone
Your transaction ID is TXN466623. Please keep it for your records.,Transactional,your transaction id is txn466623 please keep it for your records
Your OTP is 345060. Do not share it with anyone.,Transactional,your otp is 345060 do not share it with anyone
Your transaction ID is TXN260385. Please keep it for your records.,Transactional,your transaction id is txn260385 please keep it for your records
Your payment of ₹1220 was successful.,Transactional,your payment of 1220 was successful
Your payment of ₹6450 was successful.,Transactional,your payment of 6450 was successful
Your OTP is 905825. Do not share it with anyone.,Transactional,your otp is 905825 do not share it with anyone
Your payment of ₹4643 was successful.,Transactional,your payment of 4643 was successful
Your OTP is 879216. Do not share it with anyone.,Transactional,your otp is 879216 do not share it with anyone
Your package with tracking ID 455400 has been shipped.,Transactional,your package with tracking id 455400 has been shipped
Your package with tracking ID 829005 has been shipped.,Transactional,your package with tracking id 829005 has been shipped
Your package with tracking ID 916644 has been shipped.,Transactional,your package with tracking id 916644 has been shipped
Your package with tracking ID 767273 has been shipped.,Transactional,your package with tracking id 767273 has been shipped
Your payment of ₹4781 was successful.,Transactional,your payment of 4781 was successful
Your package with tracking ID 290524 has been shipped.,Transactional,your package with tracking id 290524 has been shipped
Your package with tracking ID 695180 has been shipped.,Transactional,your package with tracking id 695180 has been shipped
Your OTP is 941271. Do not share it with anyone.,Transactional,your otp is 941271 do not share it with anyone
Your OTP is 637133. Do not share it with anyone.,Transactional,your otp is 637133 do not share it with anyone
Your package with tracking ID 912069 has been shipped.,Transactional,your package with tracking id 912069 has been shipped
Your transaction ID is TXN189243. Please keep it for your records.,Transactional,your transaction id is txn189243 please keep it for your records
Your transaction ID is TXN113823. Please keep it for your records.,Transactional,your transaction id is txn113823 please keep it for your records
Your package with tracking ID 934032 has been shipped.,Transactional,your package with tracking id 934032 has been shipped
Your transaction ID is TXN741109. Please keep it for your records.,Transactional,your transaction id is txn741109 please keep it for your records
Your package with tracking ID 300300 has been shipped.,Transactional,your package with tracking id 300300 has been shipped
Your payment of ₹5241 was successful.,Transactional,your payment of 5241 was successful
Your transaction ID is TXN335926. Please keep it for your records.,Transactional,your transaction id is txn335926 please keep it for your records
Your package with tracking ID 727108 has been shipped.,Transactional,your package with tracking id 727108 has been shipped
Your package with tracking ID 116116 has been shipped.,Transactional,your package with tracking id 116116 has been shipped
Your transaction ID is TXN679550. Please keep it for your records.,Transactional,your transaction id is txn679550 please keep it for your records
Your transaction ID is TXN532315. Please keep it for your records.,Transactional,your transaction id is txn532315 please keep it for your records
Your transaction ID is TXN471817. Please keep it for your records.,Transactional,your transaction id is txn471817 please keep it for your records
Your payment of ₹1283 was successful.,Transactional,your payment of 1283 was successful
Your OTP is 725976. Do not share it with anyone.,Transactional,your otp is 725976 do not share it with anyone
Your transaction ID is TXN413187. Please keep it for your records.,Transactional,your transaction id is txn413187 please keep it for your records
Your package with tracking ID 525052 has been shipped.,Transactional,your package with tracking id 525052 has been shipped
Your package with tracking ID 911179 has been shipped.,Transactional,your package with tracking id 911179 has been shipped
Your transaction ID is TXN508937. Please keep it for your records.,Transactional,your transaction id is txn508937 please keep it for your records
Your payment of ₹6949 was successful.,Transactional,your payment of 6949 was successful
Your package with tracking ID 529561 has been shipped.,Transactional,your package with tracking id 529561 has been shipped
Your transaction ID is TXN977776. Please keep it for your records.,Transactional,your transaction id is txn977776 please keep it for your records
Your payment of ₹5577 was successful.,Transactional,your payment of 5577 was successful
Your payment of ₹8708 was successful.,Transactional,your payment of 8708 was successful
Your OTP is 826370. Do not share it with anyone.,Transactional,your otp is 826370 do not share it with anyone
Your transaction ID is TXN642477. Please keep it for your records.,Transactional,your transaction id is txn642477 please keep it for your records
Your transaction ID is TXN169968. Please keep it for your records.,Transactional,your transaction id is txn169968 please keep it for your records
Your transaction ID is TXN904984. Please keep it for your records.,Transactional,your transaction id is txn904984 please keep it for your records
Your OTP is 344299. Do not share it with anyone.,Transactional,your otp is 344299 do not share it with anyone
Your OTP is 152262. Do not share it with anyone.,Transactional,your otp is 152262 do not share it with anyone
Your transaction ID is TXN507252. Please keep it for your records.,Transactional,your transaction id is txn507252 please keep it for your records
Your OTP is 820621. Do not share it with anyone.,Transactional,your otp is 820621 do not share it with anyone
Your OTP is 302927. Do not share it with anyone.,Transactional,your otp is 302927 do not share it with anyone
Your transaction ID is TXN157690. Please keep it for your records.,Transactional,your transaction id is txn157690 please keep it for your records
Your transaction ID is TXN591370. Please keep it for your records.,Transactional,your transaction id is txn591370 please keep it for your records
Your payment of ₹6804 was successful.,Transactional,your payment of 6804 was successful
Your OTP is 335040. Do not share it with anyone.,Transactional,your otp is 335040 do not share it with anyone
Your OTP is 647307. Do not share it with anyone.,Transactional,your otp is 647307 do not share it with anyone
Your transaction ID is TXN929997. Please keep it for your records.,Transactional,your transaction id is txn929997 please keep it for your records
Your package with tracking ID 110957 has been shipped.,Transactional,your package with tracking id 110957 has been shipped
Your OTP is 119419. Do not share it with anyone.,Transactional,your otp is 119419 do not share it with anyone
Your payment of ₹2825 was successful.,Transactional,your payment of 2825 was successful
Your package with tracking ID 520233 has been shipped.,Transactional,your package with tracking id 520233 has been shipped
Your OTP is 384089. Do not share it with anyone.,Transactional,your otp is 384089 do not share it with anyone
Your package with tracking ID 809012 has been shipped.,Transactional,your package with tracking id 809012 has been shipped
Your OTP is 967824. Do not share it with anyone.,Transactional,your otp is 967824 do not share it with anyone
Your OTP is 672093. Do not share it with anyone.,Transactional,your otp is 672093 do not share it with anyone
Your package with tracking ID 499781 has been shipped.,Transactional,your package with tracking id 499781 has been shipped
Your transaction ID is TXN504763. Please keep it for your records.,Transactional,your transaction id is txn504763 please keep it for your records
Your payment of ₹9732 was successful.,Transactional,your payment of 9732 was successful
Your transaction ID is TXN496839. Please keep it for your records.,Transactional,your transaction id is txn496839 please keep it for your records
Your OTP is 223663. Do not share it with anyone.,Transactional,your otp is 223663 do not share it with anyone
Your OTP is 309180. Do not share it with anyone.,Transactional,your otp is 309180 do not share it with anyone
Your package with tracking ID 676517 has been shipped.,Transactional,your package with tracking id 676517 has been shipped
Your OTP is 110118. Do not share it with anyone.,Transactional,your otp is 110118 do not share it with anyone
Your transaction ID is TXN945181. Please keep it for your records.,Transactional,your transaction id is txn945181 please keep it for your records
Your OTP is 162414. Do not share it with anyone.,Transactional,your otp is 162414 do not share it with anyone
Your transaction ID is TXN456842. Please keep it for your records.,Transactional,your transaction id is txn456842 please keep it for your records
Your payment of ₹203 was successful.,Transactional,your payment of 203 was successful
Your transaction ID is TXN962307. Please keep it for your records.,Transactional,your transaction id is txn962307 please keep it for your records
Your OTP is 925462. Do not share it with anyone.,Transactional,your otp is 925462 do not share it with anyone
Your OTP is 797417. Do not share it with anyone.,Transactional,your otp is 797417 do not share it with anyone
Your transaction ID is TXN733785. Please keep it for your records.,Transactional,your transaction id is txn733785 please keep it for your records
Your transaction ID is TXN686706. Please keep it for your records.,Transactional,your transaction id is txn686706 please keep it for your records
Your package with tracking ID 833887 has been shipped.,Transactional,your package with tracking id 833887 has been shipped
Your payment of ₹402 was successful.,Transactional,your payment of 402 was successful
Your transaction ID is TXN126838. Please keep it for your records.,Transactional,your transaction id is txn126838 please keep it for your records
Your payment of ₹4045 was successful.,Transactional,your payment of 4045 was successful
Your package with tracking ID 923590 has been shipped.,Transactional,your package with tracking id 923590 has been shipped
Your OTP is 744733. Do not share it with anyone.,Transactional,your otp is 744733 do not share it with anyone
Your transaction ID is TXN715705. Please keep it for your records.,Transactional,your transaction id is txn715705 please keep it for your records
Your OTP is 788754. Do not share it with anyone.,Transactional,your otp is 788754 do not share it with anyone
Your package with tracking ID 191845 has been shipped.,Transactional,your package with tracking id 191845 has been shipped
Your package with tracking ID 377715 has been shipped.,Transactional,your package with tracking id 377715 has been shipped
Your transaction ID is TXN865177. Please keep it for your records.,Transactional,your transaction id is txn865177 please keep it for your records
Your OTP is 192317. Do not share it with anyone.,Transactional,your otp is 192317 do not share it with anyone
Your OTP is 892405. Do not share it with anyone.,Transactional,your otp is 892405 do not share it with anyone
Your payment of ₹7331 was successful.,Transactional,your payment of 7331 was successful
Your transaction ID is TXN268630. Please keep it for your records.,Transactional,your transaction id is txn268630 please keep it for your records
Your OTP is 725375. Do not share it with anyone.,Transactional,your otp is 725375 do not share it with anyone
Your OTP is 210879. Do not share it with anyone.,Transactional,your otp is 210879 do not share it with anyone
Your OTP is 541021. Do not share it with anyone.,Transactional,your otp is 541021 do not share it with anyone
Your package with tracking ID 925786 has been shipped.,Transactional,your package with tracking id 925786 has been shipped
Your OTP is 950340. Do not share it with anyone.,Transactional,your otp is 950340 do not share it with anyone
Your payment of ₹205 was successful.,Transactional,your payment of 205 was successful
Your OTP is 808246. Do not share it with anyone.,Transactional,your otp is 808246 do not share it with anyone
Your transaction ID is TXN563375. Please keep it for your records.,Transactional,your transaction id is txn563375 please keep it for your records
Your package with tracking ID 733115 has been shipped.,Transactional,your package with tracking id 733115 has been shipped
Your package with tracking ID 717868 has been shipped.,Transactional,your package with tracking id 717868 has been shipped
Your payment of ₹4859 was successful.,Transactional,your payment of 4859 was successful
Your transaction ID is TXN742050. Please keep it for your records.,Transactional,your transaction id is txn742050 please keep it for your records
Your payment of ₹9387 was successful.,Transactional,your payment of 9387 was successful
Your payment of ₹8968 was successful.,Transactional,your payment of 8968 was successful
Your OTP is 799667. Do not share it with anyone.,Transactional,your otp is 799667 do not share it with anyone
Your package with tracking ID 762860 has been shipped.,Transactional,your package with tracking id 762860 has been shipped
Your OTP is 719001. Do not share it with anyone.,Transactional,your otp is 719001 do not share it with anyone
Your package with tracking ID 278472 has been shipped.,Transactional,your package with tracking id 278472 has been shipped
Your payment of ₹6137 was successful.,Transactional,your payment of 6137 was successful
Your package with tracking ID 436639 has been shipped.,Transactional,your package with tracking id 436639 has been shipped
Your OTP is 750187. Do not share it with anyone.,Transactional,your otp is 750187 do not share it with anyone
Your transaction ID is TXN625722. Please keep it for your records.,Transactional,your transaction id is txn625722 please keep it for your records
Your payment of ₹5078 was successful.,Transactional,your payment of 5078 was successful
Your payment of ₹5717 was successful.,Transactional,your payment of 5717 was successful
Your package with tracking ID 144628 has been shipped.,Transactional,your package with tracking id 144628 has been shipped
Your payment of ₹5111 was successful.,Transactional,your payment of 5111 was successful
Your package with tracking ID 324441 has been shipped.,Transactional,your package with tracking id 324441 has been shipped
Your transaction ID is TXN950914. Please keep it for your records.,Transactional,your transaction id is txn950914 please keep it for your records
Your OTP is 648522. Do not share it with anyone.,Transactional,your otp is 648522 do not share it with anyone
Your OTP is 530785. Do not share it with anyone.,Transactional,your otp is 530785 do not share it with anyone
Your payment of ₹846 was successful.,Transactional,your payment of 846 was successful
Your payment of ₹9249 was successful.,Transactional,your payment of 9249 was successful
Your package with tracking ID 113151 has been shipped.,Transactional,your package with tracking id 113151 has been shipped
Your OTP is 623194. Do not share it with anyone.,Transactional,your otp is 623194 do not share it with anyone
Your package with tracking ID 884524 has been shipped.,Transactional,your package with tracking id 884524 has been shipped
Your package with tracking ID 296571 has been shipped.,Transactional,your package with tracking id 296571 has been shipped
Your transaction ID is TXN815894. Please keep it for your records.,Transactional,your transaction id is txn815894 please keep it for your records
Your transaction ID is TXN503710. Please keep it for your records.,Transactional,your transaction id is txn503710 please keep it for your records
Your OTP is 834165. Do not share it with anyone.,Transactional,your otp is 834165 do not share it with anyone
Your package with tracking ID 703741 has been shipped.,Transactional,your package with tracking id 703741 has been shipped
Your transaction ID is TXN292819. Please keep it for your records.,Transactional,your transaction id is txn292819 please keep it for your records
Your OTP is 947569. Do not share it with anyone.,Transactional,your otp is 947569 do not share it with anyone
Your OTP is 501353. Do not share it with anyone.,Transactional,your otp is 501353 do not share it with anyone
Your package with tracking ID 473091 has been shipped.,Transactional,your package with tracking id 473091 has been shipped
Your transaction ID is TXN636059. Please keep it for your records.,Transactional,your transaction id is txn636059 please keep it for your records
Your OTP is 787115. Do not share it with anyone.,Transactional,your otp is 787115 do not share it with anyone
Your transaction ID is TXN310625. Please keep it for your records.,Transactional,your transaction id is txn310625 please keep it for your records
Your payment of ₹580 was successful.,Transactional,your payment of 580 was successful
Your OTP is 599731. Do not share it with anyone.,Transactional,your otp is 599731 do not share it with anyone
Your payment of ₹4988 was successful.,Transactional,your payment of 4988 was successful
Your transaction ID is TXN793532. Please keep it for your records.,Transactional,your transaction id is txn793532 please keep it for your records
Your transaction ID is TXN691550. Please keep it for your records.,Transactional,your transaction id is txn691550 please keep it for your records
Your package with tracking ID 675167 has been shipped.,Transactional,your package with tracking id 675167 has been shipped
Your payment of ₹8920 was successful.,Transactional,your payment of 8920 was successful
Your payment of ₹2310 was successful.,Transactional,your payment of 2310 was successful
Your transaction ID is TXN741954. Please keep it for your records.,Transactional,your transaction id is txn741954 please keep it for your records
Your transaction ID is TXN850392. Please keep it for your records.,Transactional,your transaction id is txn850392 please keep it for your records
Your payment of ₹1672 was successful.,Transactional,your payment of 1672 was successful
Your OTP is 360278. Do not share it with anyone.,Transactional,your otp is 360278 do not share it with anyone
Your transaction ID is TXN484144. Please keep it for your records.,Transactional,your transaction id is txn484144 please keep it for your records
Your transaction ID is TXN504633. Please keep it for your records.,Transactional,your transaction id is txn504633 please keep it for your records
Your transaction ID is TXN354805. Please keep it for your records.,Transactional,your transaction id is txn354805 please keep it for your records
Your package with tracking ID 840436 has been shipped.,Transactional,your package with tracking id 840436 has been shipped
Your payment of ₹8778 was successful.,Transactional,your payment of 8778 was successful
Your transaction ID is TXN658078. Please keep it for your records.,Transactional,your transaction id is txn658078 please keep it for your records
Your package with tracking ID 682614 has been shipped.,Transactional,your package with tracking id 682614 has been shipped
Your transaction ID is TXN779013. Please keep it for your records.,Transactional,your transaction id is txn779013 please keep it for your records
Your transaction ID is TXN438739. Please keep it for your records.,Transactional,your transaction id is txn438739 please keep it for your records
Your transaction ID is TXN855519. Please keep it for your records.,Transactional,your transaction id is txn855519 please keep it for your records
Your OTP is 277093. Do not share it with anyone.,Transactional,your otp is 277093 do not share it with anyone
Your payment of ₹2969 was successful.,Transactional,your payment of 2969 was successful
Your package with tracking ID 184683 has been shipped.,Transactional,your package with tracking id 184683 has been shipped
Your package with tracking ID 348898 has been shipped.,Transactional,your package with tracking id 348898 has been shipped
Your package with tracking ID 910167 has been shipped.,Transactional,your package with tracking id 910167 has been shipped
Your payment of ₹4997 was successful.,Transactional,your payment of 4997 was successful
Your OTP is 458947. Do not share it with anyone.,Transactional,your otp is 458947 do not share it with anyone
Your transaction ID is TXN804310. Please keep it for your records.,Transactional,your transaction id is txn804310 please keep it for your records
